id,name,category,price,mrp,rating,ratingTotal,discount,seller,purl,description
345607,Men Pack Of 3 Solid Socks,socks,399,399.0,4.5,36,0,Peter England,https://www.myntra.com/socks/peter-england/peter-england-men-pack-of-3-grey--blue-solid-calf-length-socks/14007916/buy,Men Pack Of 3 Solid Socks by Peter England. Price: ₹399. Rating: 4.5/5. Category: socks
377950,Boys Cotton Printed Boxers,boxers,521,549.0,4.2,32,5,U.S. Polo Assn. Kids,https://www.myntra.com/boxers/us-polo-assn-kids/us-polo-assn-kids-boys-white--blue-quirky-print-pure-cotton-boxers-8905202197614/14081864/buy,Boys Cotton Printed Boxers by U.S. Polo Assn. Kids. Price: ₹521. Rating: 4.2/5. Category: boxers
553617,Women Colourblocked Sneakers,casual-shoes,799,1999.0,3.5,32,60,Layasa,https://www.myntra.com/casual-shoes/layasa/layasa-women-purple-colourblocked-sneakers/20504128/buy,Women Colourblocked Sneakers by Layasa. Price: ₹799. Rating: 3.5/5. Category: casual-shoes
406820,Checked Broad Tie,ties,499,2196.0,4.7,3,1697,PELUCHE,https://www.myntra.com/ties/peluche/peluche-green-checked-broad-tie/9325623/buy,Checked Broad Tie by PELUCHE. Price: ₹499. Rating: 4.7/5. Category: ties
816164,Printed A-Line Mini Dress,dresses,477,1590.0,2.7,15,70,URBANIC,https://www.myntra.com/dresses/urbanic/urbanic-red--white-printed-a-line-mini-dress/15629104/buy,Printed A-Line Mini Dress by URBANIC. Price: ₹477. Rating: 2.7/5. Category: dresses
416281,Girls Floral Net Dress,dresses,493,1299.0,3.7,30,62,StyleStone,https://www.myntra.com/dresses/stylestone/stylestone-girls-pink-floral-net-dress/15353222/buy,Girls Floral Net Dress by StyleStone. Price: ₹493. Rating: 3.7/5. Category: dresses
632312,Women Striped Thermal Tops,thermal-tops,548,609.0,4.4,78,10,NEVA,https://www.myntra.com/thermal-tops/neva/neva-women-grey-striped-cotton-thermal-tops/20249542/buy,Women Striped Thermal Tops by NEVA. Price: ₹548. Rating: 4.4/5. Category: thermal-tops
921837,Ethnic Motifs Print Midi Ethnic Dress,ethnic-dresses,804,2299.0,3.3,12,65,all about you,https://www.myntra.com/ethnic-dresses/all-about-you/all-about-you-ethnic-motifs-print-smocked-a-line-midi-ethnic-dress/20258734/buy,Ethnic Motifs Print Midi Ethnic Dress by all about you. Price: ₹804. Rating: 3.3/5. Category: ethnic-dresses
553387,Laptop Trolley Briefcase,trolley-bag,2995,5990.0,3.3,12,50,SWISS MILITARY,https://www.myntra.com/trolley-bag/swiss-military/swiss-military-black-solid-laptop-trolley-briefcase/8891791/buy,Laptop Trolley Briefcase by SWISS MILITARY. Price: ₹2995. Rating: 3.3/5. Category: trolley-bag
654032,Crepe Maxi Dress,dresses,559,1999.0,3.8,76,72,SHEETAL Associates,https://www.myntra.com/dresses/sheetal-associates/sheetal-associates-black-crepe-maxi-dress/18424302/buy,Crepe Maxi Dress by SHEETAL Associates. Price: ₹559. Rating: 3.8/5. Category: dresses
106341,Men  Genuine Leather Belt,belts,344,1499.0,4.2,100,77,ZEVORA,https://www.myntra.com/belts/zevora/zevora-men--genuine-leather-belt/20060544/buy,Men  Genuine Leather Belt by ZEVORA. Price: ₹344. Rating: 4.2/5. Category: belts
300283,Oud & Green Tea Body Wash and Scrub 300ML,body-wash-and-scrub,268,289.0,4.3,14,7,FRENCH ESSENCE,https://www.myntra.com/body-wash-and-scrub/french-essence/french-essence-oud--green-tea-body-wash-and-scrub-300ml/20778546/buy,Oud & Green Tea Body Wash and Scrub 300ML by FRENCH ESSENCE. Price: ₹268. Rating: 4.3/5. Category: body-wash-and-scrub
732641,Men Cotton Polo Collar T-shirt,tshirts,1245,2490.0,4.3,15,50,MANGO MAN,https://www.myntra.com/tshirts/mango-man/mango-man-red-polo-collar-pure-cotton-t-shirt/19779160/buy,Men Cotton Polo Collar T-shirt by MANGO MAN. Price: ₹1245. Rating: 4.3/5. Category: tshirts
